x_coord	y_coord	Weight	DeliveryTimeRange	UnloadingTime
0.0730758422962361	0.9968524279145946	35	512-906	10
0.548559662141944	0.10687701382795567	3	232-259	10
0.7961720191923461	0.7921165245931198	7	493-567	10
0.22783243725086555	0.35558713711258594	19	641-906	10
0.835115737562297	0.6225198104536873	4	87-383	10
0.8255338101874903	0.8511382334622837	8	208-499	10
0.146458408581443	0.0018536475546508946	12	706-876	10
0.38405684979267996	0.2584677011897156	14	171-210	10
0.0223776131940292	0.8847581520772391	7	624-902	10
0.07600999874196523	0.9448119974775403	29	774-907	10
0.9754166514371353	0.6696413801096682	1	413-492	10
0.24517154357167603	0.09794629029852175	32	382-555	10
0.08504754130853232	0.5491369269988071	15	252-765	10
0.22107911932299895	0.6308234581576739	21	530-611	10
0.5581490862583776	0.4078593448213297	20	846-934	10
0.49790847502114155	0.14259617682024284	20	682-755	10
0.012673070738353887	0.778047378148674	3	172-325	10
0.34271849243832464	0.9053910359430438	8	389-768	10
0.30778135297741316	0.8856469178620242	1	336-430	10
0.9744386188162254	0.43215467269340546	13	371-766	10
0.027609500889103855	0.2691835501013008	9	407-495	10
0.7384255351132232	0.5822557572271895	28	378-383	10
0.3522302850853479	0.8320198524727538	22	124-443	10
0.31056055900957436	0.8586637485007005	22	184-502	10
0.6773611596276143	0.8805999798168478	18	751-834	10
0.29431054844859683	0.8983338765501876	20	342-929	10
0.8067120113339575	0.20993805876378213	14	487-892	10
0.8600897874587734	0.12820643943725563	9	334-426	10
0.09716002465850793	0.7129069623147549	22	788-909	10
0.07133683746448094	0.9886259373467446	8	527-547	10
0.5050729114210853	0.894033783522875	10	350-950	10
0.9787983037705303	0.4979240218778891	29	139-173	10
0.28771594850834614	0.7754650451309072	17	777-928	10
0.17773783832934653	0.6560788856033363	14	754-915	10
0.4094881373300143	0.6453768574454467	19	891-937	10
0.6272031477909243	0.7440125049558297	15	691-961	10
0.6187020571440197	0.0374068161647898	13	899-903	10
0.8997792077418864	0.15134673216148098	19	639-919	10
0.12298061042956843	0.2973774000819869	2	866-869	10
0.2913766369371289	0.20428066214070761	32	501-901	10
0.394307599157682	0.25770612418582495	7	443-804	10
0.6127375546124413	0.10252762192031684	2	709-838	10
0.9100112697659324	0.5630256448916519	17	676-916	10
0.97867616373957	0.40500237695849817	15	682-818	10
0.3260608585327993	0.6276940665456429	19	770-845	10
0.39007355486747386	0.7761388494590287	34	425-698	10
0.37106837991566566	0.4939446801357822	2	830-926	10
0.11795170315378511	0.7271580010652076	18	183-523	10
0.7396013985673746	0.6927421639597459	23	964-967	10
0.9379502517038205	0.7981498098100805	27	784-938	10
0.9950691596270792	0.8092058452552653	15	23-448	10
0.1810880490566782	0.14423970725239588	3	453-578	10
0.14537097322717274	0.9302970580599444	12	605-617	10
0.09416703757031386	0.7350909361568226	19	468-770	10
0.3083969218454947	0.786050414649361	5	534-779	10
0.188275629898488	0.5716133382057171	18	366-370	10
0.6193877603628073	0.34315378208413194	20	352-677	10
0.7263033455688848	0.6017064774786647	19	186-373	10
0.2518244007151449	0.08205975281961575	5	134-182	10
0.6198656254383806	0.7273923274170602	1	464-601	10
0.6329353606196454	0.8402073771720466	14	194-749	10
0.8589151766109732	0.3715707249871101	19	459-764	10
0.09492837439634683	0.7787955134839394	10	264-364	10
0.7078850638396202	0.014453467360001082	27	737-825	10
0.22324221969974967	0.56842224707656	12	153-435	10
0.004622574599008056	0.49042547479561915	7	266-538	10
0.8695558356586945	0.23303531770487385	22	600-825	10
0.07955977178441787	0.4785448251150519	26	323-359	10
0.49044611481292844	0.8403466402102989	12	509-592	10
0.7600243637220911	0.1504374619189941	18	769-918	10
0.49496285590144395	0.23772027752726732	1	500-644	10
0.5905560731571262	0.8624683190918954	21	519-649	10
0.4127016957440419	0.45056927608456987	24	825-927	10
0.9682164196799039	0.6826454403340148	13	57-225	10
0.3701684190606962	0.386809414478576	32	496-615	10
0.7297253222788689	0.9484338310085779	22	288-591	10
0.8401652362969037	0.38093372737445075	6	622-710	10
0.6068522700168946	0.3960106030957449	14	916-936	10
0.4390947107724321	0.4340980950049361	17	653-775	10
0.3237728661769459	0.42915074975257506	27	494-603	10
0.9481350638209849	0.8467005808936439	8	762-982	10
0.41274456860232733	0.34213100433972743	1	704-919	10
0.2840129052187548	0.3215848272988232	12	336-900	10
0.8737112487571264	0.980233180341088	23	585-713	10
0.8507422478964779	0.7984552961189468	13	69-341	10
0.17627652322034315	0.3992664674381058	5	741-905	10
0.24368361665609628	0.4683456707973078	7	202-375	10
0.6058529618301033	0.23493297275835057	21	664-805	10
0.5031902398282535	0.6989857356054645	26	891-948	10
0.3985358426689166	0.005651661680311948	14	154-534	10
0.9829968709734616	0.19752967607902805	9	207-234	10
0.5012331957127772	0.43805429154030273	34	907-932	10
0.5131449492255806	0.8993401352861256	14	409-951	10
0.46352119468534037	0.8569860713381139	18	60-75	10
0.997372316168634	0.1339108887414765	10	747-916	10
0.26379266705304616	0.7301833503147281	2	343-925	10
0.9078131088730405	0.4177156096528303	3	701-806	10
0.8130509275159246	0.2366778942319404	28	648-927	10
0.945790975824396	0.38198192967087274	30	192-335	10
0.7740641213369522	0.0913035932215821	29	214-697	10
0.884701751893592	0.8466963906243238	0.0	0-1000	0
