x_coord	y_coord	Weight	DeliveryTimeRange	UnloadingTime
2236	1398	9	04:20-06:25	540
3497	1798	5	05:20-07:25	480
1241	999	8	02:50-09:25	600
1400	198	3	04:20-06:25	480
351	227	11	02:20-04:25	600
4113	1932	6	02:20-04:25	660
1091	867	4	02:50-09:25	360
4959	1887	7	02:20-04:25	540
1208	1026	6	04:20-06:25	540
3859	1624	8	02:20-04:25	840
1690	1038	6	03:20-05:25	360
4823	1857	11	05:20-07:25	660
1005	857	8	05:20-07:25	540
4422	1552	8	07:20-09:25	780
2304	1724	7	07:20-09:25	720
1508	573	4	02:20-04:25	360
2228	1246	9	02:20-04:25	660
1411	1028	6	02:20-04:25	420
2244	1118	5	04:20-06:25	300
1325	500	8	02:50-09:25	540
3854	1819	4	05:20-07:15	240
4020	1320	3	03:20-05:25	360
2222	1659	5	05:20-07:25	360
2545	1817	8	02:20-04:25	600
4533	1747	5	04:20-06:25	420
1729	487	4	02:50-09:25	420
3571	1446	6	05:20-07:25	540
4810	1748	2	02:50-09:25	420
4690	1659	3	03:20-05:25	300
2115	1159	9	06:20-08:25	540
3266	1592	11	02:50-09:25	1080
4330	1493	5	03:20-05:25	300
2040	1458	7	02:20-04:25	600
3193	1407	2	05:20-07:25	180
5559	2271	3	02:20-04:25	360
3952	1871	6	03:20-05:25	480
489	473	3	02:50-09:25	360
1270	226	3	05:20-07:25	480
962	672	5	04:20-06:25	420
3944	1115	5	04:20-06:25	360
3623	1811	5	03:20-05:25	480
2088	844	5	03:20-05:25	300
2057	811	6	03:20-05:25	540
4302	1322	6	04:20-06:25	540
1592	519	5	04:20-06:25	300
2072	859	6	02:50-09:25	480
2097	1081	11	02:20-04:25	600
117	369	5	05:20-07:25	420
200	362	4	06:20-08:25	240
5559	2322	9	02:20-04:25	1320
1484	1163	7	06:20-08:25	420
3648	1407	5	02:50-09:25	780
1271	636	5	07:20-09:25	360
1119	378	9	02:50-09:25	720
2966	1554	4	06:20-08:25	420
635	788	6	05:20-07:25	540
4872	1648	6	03:20-05:25	420
264	605	8	02:20-04:25	480
1825	116	5	03:20-05:25	300
4804	1818	5	03:20-05:25	360
2943	1530	2	02:50-09:25	540
2570	851	6	04:20-06:25	360
3079	1497	4	02:50-09:25	300
3133	1231	7	07:20-09:25	480
2082	1314	4	03:20-05:25	300
3799	1850	8	03:20-05:25	480
3798	1820	5	02:20-04:25	420
1498	201	8	04:20-06:25	540
851	90	5	02:50-09:25	360
758	302	6	05:20-07:25	360
3121	1428	4	04:20-06:25	300
3868	1289	2	02:20-04:25	300
3923	1507	7	03:20-05:25	540
2201	1572	6	02:50-09:25	420
2891	1169	11	03:20-05:25	600
4653	1512	4	05:20-07:25	480
2000	115	8	05:20-07:25	660
756	753	13	02:50-09:25	900
1298	317	7	03:20-05:25	600
4003	1473	8	04:20-06:25	540
2850	1231	5	02:20-04:25	420
4311	1312	6	02:50-09:25	540
4041	1530	7	03:20-05:25	420
2780	1126	5	02:20-04:25	420
674	0	11	02:20-04:15	600
5356	2380	4	05:20-07:25	420
3397	1388	7	04:20-06:25	420
4718	1617	4	05:20-07:25	420
4476	1498	5	02:20-04:25	360
1456	767	9	04:20-06:25	540
4496	1707	5	05:20-07:25	540
3447	1548	5	05:20-07:25	420
1347	820	8	02:20-04:25	900
4224	1400	5	02:20-04:25	420
4170	1862	9	03:20-05:25	540
2411	975	4	02:50-09:25	300
5095	1703	6	02:50-09:25	660
2364	1705	13	02:20-04:25	960
